delta
61
984
1826
1826
1826
4517
2955
1826
1827
2107
1826
2173
1825
1826
2305
2977
1447
2223
2311
2552
2985
4579
4580
861
1826
1827
2610
1827
3331
5064
5065
5147
5148
1826
3515
1826
1207
1826
2759
2778
984
1826
852
1826
1826
1826
1574
4311
4310
1507
3236
3281
4856
1827
3282
4395
2549
3241
4952
1826
1826
809
1068
3043
1803
3191
3570
874
1826
1826
1093
1826
1908
1826
4790
1826
5085
5086
5087
5085
3328
3127
63
270
379
499
589
3909
2344
1826
1826
1826
3051
1826
5065
5066
20
1976
4396
2981
4983
1826
1882
1033
1034
1826
2826
1826
3130
4899
5149
1033
3044
3631
1826
1826
1827
1826
2776
2982
2596
1826
1456
1100
3330
4614
4877
99
253
418
2127
4790
1826
3466
4813
134
143
152
2309
2742
4106
1826
4560
4434
3871
1163
1826
4614
1315
2353
1826
1826
1826
1827
64
19
99
1826
19
4466
1826
3118
5277
1082
2683
1039
1579
36
3032
4543
1826
3789
5176
137
1225
1826
1242
4015
4679
1826
2189
966
1826
1826
1826
1826
4013
4610
1600
1826
3156
4862
1303
1826
4420
4629
4630
1826
3333
4432
1826
1826
4367
1826
1826
3775
263
1826
3282
3515
1826
3073
766
5097
1298
1826
2826
4559
1826
1826
1827
225
1826
1118
1826
1218
1826
1826
1195
1826
345
2275
4561
344
2274
4560
2512
5096
5097
3683
1826
1827
1471
3669
1218
1827
5149
99
117
235
1276
3490
3073
1826
1826
1826
1826
1826
4771
4469
1003
1826
499
3498
4849
4672
1827
1826
861
4170
4380
2427
627
1826
1521
4559
4628
2097
5179
5280
1342
2117
702
1826
4579
1455
1826
3693
4383
3563
1826
3282
4009
1825
1826
1826
3282
4643
1826
1826
863
4579
1826
3310
37
3127
5148
5149
5150
1826
1826
1826
1826
3081
2107
1826
2875
4151
1826
4586
803
1826
2038
1826
1826
2190
1826
2872
1826
2243
3474
1341
4905
1826
1034
1093
3263
64
4423
1826
1826
1826
2905
3282
1826
3603
1826
1826
4895
1826
1067
5051
4479
1826
3037
3474
1826
1826
1934
4123
1825
1826
4579
1843
3330
5206
1826
3313
5189
3282
1173
2274
3875
4560
152
4558
4559
134
4540
4541
4957
1033
4470
1826
2928
49
339
3044
5148
5149
1826
852
1826
99
797
3945
4558
1826
1826
100
1826
1827
99
1825
1826
1826
5148
5170
1826
1804
2460
1826
3282
1826
1826
4788
1826
3258
3410
1826
1001
1826
1826
1827
4235
3325
1297
1826
5085
58
3581
1207
103
1826
2872
2989
4150
4988
3003
1826
1859
2905
1793
1826
2872
1826
3732
1826
1826
3424
1826
5244
1826
1826
1826
2191
2281
1327
4905
1260
1826
4756
1826
1826
1825
1826
1826
632
1826
560
561
1825
1826
3279
1826
1936
48
90
1424
3713
4123
4199
1826
517
4611
2477
