C,rate
1,0.9848168026446117
2,0.9718680296693014
3,0.9874470021689462
4,0.997886891912375
5,0.9851283210778433
6,0.987381336718043
7,0.9859522119091859
8,0.9933691391372341
9,0.981438519865583
10,0.9834066030076107
11,0.9851336570442129
12,0.9823977763083043
13,0.9889497605802181
14,0.9850444702910914
15,1.0
16,0.9938712483289351
17,0.9990990235919562
18,0.9905208135375233
19,0.995881359485015
20,0.9892242308665484
21,0.9860866152769817
22,0.9941435789255664
23,0.9883870775337302
24,0.9999231854749485
25,0.9903091471356146
26,0.9944809828128278
27,0.9931160870467259
28,0.9823926409948249
29,0.9936415798618199
30,0.9821326414639289
31,0.9784128755772958
32,0.9701247480078151
33,0.9619157246241041
34,0.9526857132898434
35,0.9426163853406588
36,0.9120665951446372
37,0.882260564549994
38,0.833366523551001
39,0.7181397331808415
40,0.5177255060668493
41,0.3226301950734381
42,0.20133790423251802
43,0.14973985292109718
44,0.10595680080954649
45,0.0850437393881124
46,0.07222707996468884
47,0.06539057792571934
48,0.049062154835598976
49,0.03948028774160165
50,0.04247631178843356
51,0.042739057084165144
52,0.03585058762308953
53,0.02564238160657274
54,0.028135627164927884
55,0.015787698122478402
56,0.019410472042533003
57,0.019330961985568294
58,0.01999128240644371
59,0.01998938490552231
60,0.024306497553902004
61,0.01719800638404095
62,0.013146850466454967
63,0.020152125731284262
64,0.014305450254447636
65,0.01060259278673378
66,0.007111344087713774
67,0.007069413357572032
68,0.009806816158961278
69,0.013553549717252159
70,0.004592418357543844
71,0.014683595819653478
72,0.011417335682550434
73,0.009028282385945687
74,0.004850100620090726
75,0.005280716425374647
76,0.01302156856824745
77,0.010270063719201873
78,0.010803823267691973
79,0.005672628658135134
