db,blackman,hann,rectangular
-40,0.0,0.0,0.0
-39,0.0,0.0,0.0
-38,0.0,0.0,0.0
-37,0.0,0.0,0.0
-36,0.0,0.0,0.0
-35,0.0,0.0,0.0
-34,0.0,0.0,0.0
-33,0.0,0.24154589371980675,0.24096385542168677
-32,0.48426150121065376,0.7246376811594202,0.0
-31,0.7263922518159807,0.7246376811594202,0.0
-30,1.694915254237288,1.4492753623188404,0.7228915662650602
-29,3.389830508474576,5.0724637681159415,0.9638554216867471
-28,4.60048426150121,6.038647342995169,1.4457831325301205
-27,9.685230024213075,12.077294685990339,3.132530120481927
-26,13.075060532687651,18.59903381642512,5.301204819277109
-25,20.33898305084746,22.705314009661837,11.08433734939759
-24,25.907990314769975,32.367149758454104,16.3855421686747
-23,34.14043583535109,39.85507246376811,23.6144578313253
-22,42.13075060532688,45.89371980676328,34.93975903614458
-21,47.21549636803874,56.52173913043478,41.44578313253012
-20,55.205811138014525,63.52657004830918,53.73493975903615
-19,63.43825665859565,69.32367149758453,61.204819277108435
-18,69.97578692493947,75.36231884057972,67.46987951807229
-17,74.33414043583537,81.40096618357488,75.18072289156626
-16,77.72397094430994,84.54106280193237,80.72289156626505
-15,80.62953995157386,84.29951690821255,86.50602409638553
-14,86.19854721549636,89.3719806763285,88.91566265060241
-13,86.68280871670703,91.06280193236714,89.63855421686748
-12,88.13559322033899,93.4782608695652,94.4578313253012
-11,89.10411622276028,94.92753623188406,95.90361445783134
-10,90.55690072639226,96.61835748792271,96.86746987951807
-9,93.7046004842615,96.13526570048309,97.59036144578313
-8,94.43099273607749,97.82608695652173,97.34939759036145
-7,96.61016949152543,98.06763285024154,98.55421686746986
-6,95.88377723970945,98.55072463768116,99.03614457831324
-5,97.3365617433414,97.58454106280192,98.79518072289156
-4,97.82082324455206,97.82608695652173,98.55421686746986
-3,97.82082324455206,98.79227053140094,99.03614457831324
-2,98.06295399515739,98.79227053140094,100.0
-1,99.03147699757868,98.55072463768116,99.27710843373494
0,98.30508474576271,99.51690821256038,99.51807228915662
1,98.78934624697337,99.75845410628018,98.55421686746986
2,99.75786924939469,99.27536231884056,99.27710843373494
3,99.51573849878935,99.03381642512076,99.03614457831324
4,99.03147699757868,99.03381642512076,99.03614457831324
5,99.03147699757868,98.06763285024154,99.27710843373494
6,99.51573849878935,99.27536231884056,99.03614457831324
7,99.51573849878935,99.27536231884056,99.03614457831324
8,99.51573849878935,99.03381642512076,99.03614457831324
9,99.03147699757868,98.79227053140094,99.03614457831324
10,99.27360774818402,99.75845410628018,98.3132530120482
11,99.51573849878935,99.51690821256038,98.79518072289156
12,99.27360774818402,99.51690821256038,98.55421686746986
13,99.51573849878935,99.27536231884056,99.27710843373494
14,99.75786924939469,99.27536231884056,98.3132530120482
15,99.51573849878935,99.75845410628018,98.79518072289156
16,99.51573849878935,99.75845410628018,98.07228915662651
17,99.27360774818402,99.51690821256038,99.03614457831324
18,99.75786924939469,98.55072463768116,99.03614457831324
19,99.75786924939469,98.55072463768116,99.03614457831324
20,99.75786924939469,98.79227053140094,98.79518072289156
21,99.51573849878935,99.75845410628018,99.27710843373494
22,99.51573849878935,99.27536231884056,98.55421686746986
23,99.75786924939469,99.03381642512076,98.79518072289156
24,99.27360774818402,100.0,99.27710843373494
25,99.51573849878935,99.27536231884056,99.03614457831324
26,99.51573849878935,99.27536231884056,98.79518072289156
27,99.75786924939469,99.03381642512076,99.03614457831324
28,100.0,99.27536231884056,99.27710843373494
29,99.27360774818402,98.55072463768116,98.79518072289156
30,99.27360774818402,98.55072463768116,99.03614457831324
31,99.51573849878935,98.30917874396135,99.03614457831324
32,100.0,99.51690821256038,99.03614457831324
33,99.75786924939469,99.27536231884056,99.27710843373494
34,99.75786924939469,98.79227053140094,99.03614457831324
35,99.75786924939469,99.27536231884056,99.27710843373494
36,100.0,99.27536231884056,98.79518072289156
37,99.75786924939469,99.27536231884056,99.03614457831324
38,100.0,99.51690821256038,99.03614457831324
39,99.75786924939469,99.27536231884056,99.27710843373494
